"","amass.mix","r.atom.mix","cm.mix","delta.hom.mix","S.mix","delta.Poisson.Ratio.mix","HMA"
"2",0.405681765374237,0.714532117356474,0.338219014491149,0.917926294815167,0.29721701001484,0.14188530819691,7.97
"3",0.439874274502228,0.743975272795228,0.351882285832978,0.91106649795194,0.268146058396025,0.137666899797321,4.5
"4",0.346732972347194,0.670598872921647,0.322515271227122,0.913848798781884,0.393985328468724,0.156103310365242,5.83
"6",0.300257518658472,0.531342144476195,0.293045349173744,0.954626852750845,0.330971598113753,0.0106839019219919,2.892
"7",0.292662529661857,0.544662801037329,0.354396794841434,0.936845006491953,0.409122797826207,0.0874072582751828,2.07
"8",0.285575672998397,0.567523477694007,0.285959840913011,0.945278434867456,0.418372668263924,0.0172200404483831,1.42
"9",0.297143227519546,0.531825412122175,0.304141706027511,0.944834545445641,0.408109854439967,0.0155937313490974,1.528
"10",0.243844205199018,0.476590969621512,0.266295107616589,0.950437142541092,0.354257172116346,0.00999050064236122,11.75
"11",0.239206419084419,0.477377174288656,0.269333992352338,0.941306873173555,0.399791798201375,0.0123459683206892,11.8
"12",0.23457833944046,0.478161733499902,0.272366516974723,0.932138296035317,0.434352077597143,0.0146135648006701,10.16
"13",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.4
"14",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.6
"15",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.5
"16",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.3
"17",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.5
"18",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.2
"19",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.9
"20",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.8
"21",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4.4
"22",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,4
"23",0.302507548187691,0.587298794513041,0.463059579728531,0.916313583969316,0.45380730650504,0.169210424689047,3.4
"26",0.229054881034761,0.467590241072253,0.275880061560161,0.934581021490044,0.414720957103584,0.023321669372222,9.2
"27",0.230596591452151,0.467324867123077,0.271148661977791,0.939348262800436,0.396853932387922,0.0191089765782122,9.6
"28",0.232139379587691,0.467059307666727,0.266413954955092,0.944119672917208,0.378256689150769,0.0146888242318046,10.5
"29",0.233683246571831,0.466793562508646,0.2616759370228,0.948895283656538,0.358852858709608,0.0100333012577297,11
"30",0.235228193536598,0.466527631453946,0.256934604706798,0.953675126882309,0.338546862877994,0.00510729813990088,11.6
"31",0.309579971775222,0.669143021976513,0.559772362577825,0.938114641341948,0.461909605061274,0.246223795449835,3.08
"32",0.293753967901902,0.634626526147423,0.563614252941593,0.921328649439712,0.425626784557557,0.244342874786198,6.28
"33",0.302257149134608,0.623771125677419,0.5754296595536,0.882179153503578,0.470908652817782,0.255722648531334,6.78
"34",0.290115329216794,0.61203003613996,0.571418588521218,0.893487334843909,0.430982479317196,0.249180151006829,7.77
"35",0.278039062765556,0.600352336532974,0.567429173188937,0.904616962683102,0.379120838082146,0.242451967957819,7.07
"36",0.245396269479095,0.476327861286944,0.261544484011933,0.955229502136433,0.333888913696479,0.00505799293699276,10.4
"37",0.257296231842016,0.48758664369493,0.264682738035542,0.944086644933874,0.385295418835309,0.0231636384078282,9.4
"38",0.269260315467702,0.498906092458258,0.267837902096741,0.932771904555148,0.424852656493447,0.0385597724061263,5
"39",0.28128904001874,0.510286699239636,0.27101011324077,0.921286112529373,0.459943482949642,0.0521375951476968,8.8
"40",0.293382930788314,0.521728961029035,0.274199509997768,0.909630011150577,0.492124117343904,0.0643808653365948,5.3
"41",0.202395435538386,0.466095647298416,0.329364690593315,0.920753236299039,0.465658604137923,0.104342205284806,6.415
"42",0.202699977719163,0.46604280416006,0.328428105038368,0.921698364178567,0.46170075276506,0.103882059500231,5
